2025-10-16 00:39:52 | INFO     | secvuln-agent | __init__:43 | ============================================================
2025-10-16 00:39:52 | INFO     | secvuln-agent | __init__:44 | SecVuln Agent Starting...
2025-10-16 00:39:52 | INFO     | secvuln-agent | __init__:45 | ============================================================
2025-10-16 00:39:52 | CRITICAL | secvuln-agent | main:378 | Fatal error: Device at row 18 missing required field: device_id
Traceback (most recent call last):
  File "C:\Projects\secvuln-agent\src\main.py", line 366, in main
    agent = SecVulnAgent()
            ^^^^^^^^^^^^^^
  File "C:\Projects\secvuln-agent\src\main.py", line 50, in __init__
    self.devices = self.config_loader.load_devices()
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Projects\secvuln-agent\src\utils\config_loader.py", line 113, in load_devices
    self._validate_devices()
  File "C:\Projects\secvuln-agent\src\utils\config_loader.py", line 132, in _validate_devices
    raise ValueError(
ValueError: Device at row 18 missing required field: device_id
2025-10-16 07:19:52 | INFO     | secvuln-agent | process_vulnerabilities:249 | Processed 2 vulnerabilities
2025-10-16 07:19:58 | INFO     | secvuln-agent | run_scan:326 | Scan complete. Database stats: {'total_cves': 1666, 'unnotified_cves': 0, 'by_severity': {'LOW': 1666}, 'cisa_kev_count': 1442, 'new_last_24h': 1666}
2025-10-16 08:40:10 | INFO     | secvuln-agent | run_scan:303 | Starting scan cycle at 2025-10-16 08:40:10.662937
2025-10-16 08:40:10 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from CISA KEV (tier1)...
2025-10-16 08:40:22 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from CISA KEV
2025-10-16 08:40:24 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from GitHub Advisories (tier1)...
2025-10-16 08:40:26 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 4 CVEs from GitHub Advisories
2025-10-16 08:40:28 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from OpenCVE (tier1)...
2025-10-16 08:40:32 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from OpenCVE
2025-10-16 08:40:34 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from RSS Feeds (tier2)...
2025-10-16 08:40:41 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from RSS Feeds
2025-10-16 08:40:43 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from NVD (tier3)...
2025-10-16 08:40:52 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from NVD
2025-10-16 08:40:54 | INFO     | secvuln-agent | collect_vulnerabilities:181 | Total unique CVEs collected: 4
2025-10-16 08:40:54 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-11683: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 08:40:54 | INFO     | secvuln-agent | process_vulnerabilities:249 | Processed 0 vulnerabilities
2025-10-16 08:40:54 | INFO     | secvuln-agent | send_notifications:260 | No new vulnerabilities to notify
2025-10-16 08:40:54 | INFO     | secvuln-agent | run_scan:326 | Scan complete. Database stats: {'total_cves': 1666, 'unnotified_cves': 0, 'by_severity': {'LOW': 1666}, 'cisa_kev_count': 1442, 'new_last_24h': 1666}
2025-10-16 09:56:29 | INFO     | secvuln-agent | run_scan:303 | Starting scan cycle at 2025-10-16 09:56:29.489919
2025-10-16 09:56:29 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from CISA KEV (tier1)...
2025-10-16 09:56:30 | ERROR    | secvuln-agent | collect_vulnerabilities:170 | Failed to collect from CISA KEV: HTTPSConnectionPool(host='www.cisa.gov', port=443): Max retries exceeded with url: /sites/default/files/feeds/known_exploited_vulnerabilities.json (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001C26507BEF0>: Failed to resolve 'www.cisa.gov' ([Errno 11001] getaddrinfo failed)"))
2025-10-16 09:56:30 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from GitHub Advisories (tier1)...
2025-10-16 09:56:30 | ERROR    | secvuln-agent | collect_vulnerabilities:170 | Failed to collect from GitHub Advisories: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /advisories?per_page=100&sort=updated&direction=desc&updated=%3E%3D2025-10-16 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001C26516C950>: Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)"))
2025-10-16 09:56:30 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from OpenCVE (tier1)...
2025-10-16 09:56:30 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from OpenCVE
2025-10-16 09:56:32 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from RSS Feeds (tier2)...
2025-10-16 09:56:36 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from RSS Feeds
2025-10-16 09:56:38 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from NVD (tier3)...
2025-10-16 09:56:44 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from NVD
2025-10-16 09:56:46 | INFO     | secvuln-agent | collect_vulnerabilities:181 | Total unique CVEs collected: 0
2025-10-16 09:56:46 | INFO     | secvuln-agent | run_scan:315 | No new vulnerabilities found
2025-10-16 10:56:49 | INFO     | secvuln-agent | run_scan:303 | Starting scan cycle at 2025-10-16 10:56:49.659780
2025-10-16 10:56:49 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from CISA KEV (tier1)...
2025-10-16 10:56:51 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from CISA KEV
2025-10-16 10:56:53 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from GitHub Advisories (tier1)...
2025-10-16 10:56:56 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 8 CVEs from GitHub Advisories
2025-10-16 10:56:58 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from OpenCVE (tier1)...
2025-10-16 10:57:03 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from OpenCVE
2025-10-16 10:57:05 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from RSS Feeds (tier2)...
2025-10-16 10:57:12 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from RSS Feeds
2025-10-16 10:57:14 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from NVD (tier3)...
2025-10-16 10:57:23 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 2 CVEs from NVD
2025-10-16 10:57:25 | INFO     | secvuln-agent | collect_vulnerabilities:181 | Total unique CVEs collected: 8
2025-10-16 10:57:25 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-11683: '<' not supported between instances of 'NoneType' and 'float'
2025-10-16 10:57:25 | INFO     | secvuln-agent | process_vulnerabilities:249 | Processed 1 vulnerabilities
2025-10-16 10:57:30 | INFO     | secvuln-agent | run_scan:326 | Scan complete. Database stats: {'total_cves': 1667, 'unnotified_cves': 0, 'by_severity': {'LOW': 1667}, 'cisa_kev_count': 1442, 'new_last_24h': 1667}
2025-10-16 11:57:30 | INFO     | secvuln-agent | run_scan:303 | Starting scan cycle at 2025-10-16 11:57:30.997586
2025-10-16 11:57:31 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from CISA KEV (tier1)...
2025-10-16 11:57:33 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from CISA KEV
2025-10-16 11:57:35 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from GitHub Advisories (tier1)...
2025-10-16 11:57:37 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 8 CVEs from GitHub Advisories
2025-10-16 11:57:39 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from OpenCVE (tier1)...
2025-10-16 11:57:45 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from OpenCVE
2025-10-16 11:57:47 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from RSS Feeds (tier2)...
2025-10-16 11:57:53 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from RSS Feeds
